noise_level,replicate,method,success,vmax,km,r2,vmax_relative_error,km_relative_error,reason
0.0,0,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,0,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,1,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,1,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,2,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,2,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,3,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,3,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,4,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,4,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,5,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,5,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,6,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,6,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,7,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,7,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,8,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,8,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,9,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,9,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,10,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,10,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,11,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,11,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,12,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,12,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,13,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,13,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,14,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,14,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,15,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,15,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,16,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,16,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,17,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,17,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,18,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
