noise_level,method,valid,total,invalid_fraction,median_vmax_relative_error,median_km_relative_error,median_r2,credible
0.0,nonlinear,50,50,0.0,6.679101716144941e-15,3.126388037344441e-14,1.0,True
0.0,lineweaver_burk,50,50,0.0,5.684341886080802e-16,0.0,1.0,True
0.03,nonlinear,50,50,0.0,0.016345930697976598,0.03858095076433629,0.9974032012522279,True
0.03,lineweaver_burk,50,50,0.0,0.023568951295168644,0.03744431924403102,0.9957766585392742,True
0.1,nonlinear,50,50,0.0,0.05057394240150458,0.10654274918765302,0.9760405190992368,False
0.1,lineweaver_burk,50,50,0.0,0.06531111704709866,0.1284882267844143,0.9592124374363722,False
0.2,nonlinear,50,50,0.0,0.09583836297892688,0.21217432859826563,0.9058319542341036,False
0.2,lineweaver_burk,50,50,0.0,0.22518004701167982,0.2624514909639088,0.7784405803370579,False
0.4,nonlinear,50,50,0.0,0.2335971398663554,0.4713487443015293,0.6860509926949347,False
0.4,lineweaver_burk,43,50,0.14,0.35969231936897783,0.4997076257268492,0.36982384199293383,False
